date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:50	554/554	---M-Z	200	added ('OK')	text/plain	etag:%226f6-619a13bcc73c2-gzip%22	https://itaconsultora.com.ar/robots.txt		(from )
19:46:50	113309/113309	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20May%202025%2022:46:49%20GMT	https://itaconsultora.com.ar/	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/index.html	(from )
19:46:51	51160/51160	---M--	200	added ('OK')	application/x-font-otf	etag:%22c7d8-62ced1b3b3400%22	https://itaconsultora.com.ar/wp-content/uploads/2025/01/Agrandir-Regular.otf	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/uploads/2025/01/Agrandir-Regular.otf	(from https://itaconsultora.com.ar/)
19:46:51	1932/1932	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c94584f7bbdeaec1116714b4fa804fc6-gzip%22	https://itaconsultora.com.ar/feed/	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/feed/index.html	(from https://itaconsultora.com.ar/)
19:46:51	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-6350be9355526-gzip%22	https://itaconsultora.com.ar/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://itaconsultora.com.ar/)
19:46:51	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-62ced1d420080-gzip%22	https://itaconsultora.com.ar/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/themes/hello-elementor/style.min9b70.css	(from https://itaconsultora.com.ar/)
19:46:51	5069/5069	---M-Z	200	added ('OK')	text/css	etag:%2213cd-62ced1d420080-gzip%22	https://itaconsultora.com.ar/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/themes/hello-elementor/theme.min9b70.css	(from https://itaconsultora.com.ar/)
19:46:52	7212/7212	---M-Z	200	added ('OK')	text/css	etag:%221c2c-62ced1d5142c0-gzip%22	https://itaconsultora.com.ar/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/themes/hello-elementor/header-footer.min9b70.css	(from https://itaconsultora.com.ar/)
19:46:52	53275/53275	---M-Z	200	added ('OK')	text/css	etag:%22d01b-6350b710293f7-gzip%22	https://itaconsultora.com.ar/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.4	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/plugins/elementor/assets/css/frontend.min89ce.css	(from https://itaconsultora.com.ar/)
19:46:52	1680/1680	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c94584f7bbdeaec1116714b4fa804fc6-gzip%22	https://itaconsultora.com.ar/comments/feed/	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/comments/feed/index.html	(from https://itaconsultora.com.ar/)
19:46:52	1368/1368	---M-Z	200	added ('OK')	text/css	etag:%22558-6350c353e49a6-gzip%22	https://itaconsultora.com.ar/wp-content/uploads/elementor/css/post-6.css?ver=1747176409	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/uploads/elementor/css/post-6f29b.css	(from https://itaconsultora.com.ar/)
19:46:52	254/254	---M-Z	200	added ('OK')	text/css	etag:%22fe-6350b7102de2f-gzip%22	https://itaconsultora.com.ar/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.28.4	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/plugins/elementor/assets/css/widget-image.min89ce.css	(from https://itaconsultora.com.ar/)
19:46:52	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-6350b7102da47-gzip%22	https://itaconsultora.com.ar/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.28.4	C:/Users/USUARIO/OneDrive/Documents/ITA/itaconsultora%20web/itaconsultora.com.ar/wp-content/plugins/elementor/assets/css/widget-heading.min89ce.css	(from https://itaconsultora.com.ar/)
